,Provider Name,Provider City,Provider State,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Legal Business Name,Provider Changed Ownership in Last 12 Months,Overall Rating,Health Inspection Rating,QM Rating,Long-Stay QM Rating,Short-Stay QM Rating,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
58,"NHC HEALTHCARE, MOULTON",MOULTON,AL,35650,Lawrence,For profit - Corporation,136,NHC HEALTHCARE-MOULTON LLC,N,1.0,1.0,3.0,2.0,4.0,1,15592.85,1,2,"300 HOSPITAL STREET,MOULTON,AL,35650",01/03/2023
59,ATMORE NURSING CENTER,ATMORE,AL,36502,Escambia,For profit - Corporation,100,"ATMORE NURSING CENTER, LLC",N,5.0,5.0,4.0,3.0,4.0,0,0.0,0,0,"715 EAST LAUREL STREET,ATMORE,AL,36502",01/03/2023
60,DIVERSICARE OF OXFORD,OXFORD,AL,36203,Calhoun,For profit - Corporation,173,DIVERSICARE OF OXFORD LLC,N,3.0,2.0,5.0,5.0,4.0,0,0.0,0,0,"1130 SOUTH HALE STREET,OXFORD,AL,36203",01/03/2023
61,MAGNOLIA RIDGE,GARDENDALE,AL,35071,Jefferson,For profit - Corporation,148,"SUNBRIDGE GARDENDALE HEALTH CARE CENTER, LLC",N,1.0,1.0,2.0,1.0,3.0,1,11914.5,0,1,"420 DEAN DRIVE,GARDENDALE,AL,35071",01/03/2023
62,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,BIRMINGHAM,AL,35215,Jefferson,For profit - Limited Liability company,132,"BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,LLC",N,3.0,3.0,5.0,5.0,5.0,0,0.0,0,0,"733 MARY VANN LANE,BIRMINGHAM,AL,35215",01/03/2023
63,JOHN KNOX MANOR INC  I I,MONTGOMERY,AL,36116,Montgomery,Non profit - Corporation,98,JOHN KNOX MANOR INC II,N,5.0,5.0,2.0,3.0,1.0,0,0.0,0,0,"4401 NARROW LANE ROAD,MONTGOMERY,AL,36116",01/03/2023
64,FALKVILLE HEALTH CARE CENTER,FALKVILLE,AL,35622,Morgan,For profit - Corporation,116,USA HEALTHCARE FALKVILLE LLC,N,2.0,2.0,4.0,4.0,4.0,0,0.0,0,0,"10 WEST 3RD STREET,FALKVILLE,AL,35622",01/03/2023
65,ALICEVILLE MANOR NURSING HOME,ALICEVILLE,AL,35442,Pickens,For profit - Corporation,100,"ALICEVILLE MANOR NURSING HOME, INC",N,5.0,3.0,5.0,5.0,3.0,0,0.0,0,0,"703 17TH STREET NORTHWEST,ALICEVILLE,AL,35442",01/03/2023
66,HENDRIX HEALTH AND REHABILITATION,DOUBLE SPRINGS,AL,35553,Winston,For profit - Corporation,110,"HENDRIX HEALTH CARE CENTER, INC.",N,2.0,3.0,3.0,4.0,2.0,0,0.0,0,0,"1000 HIGHWAY 33,DOUBLE SPRINGS,AL,35553",01/03/2023
67,"TALLASSEE HEALTH AND REHABILITATION, LLC",TALLASSEE,AL,36078,Elmore,For profit - Limited Liability company,111,"TALLASSEE HEALTH AND REHABILITATION, LLC",N,1.0,2.0,4.0,3.0,5.0,0,0.0,0,0,"2639 GILMER AVENUE,TALLASSEE,AL,36078",01/03/2023
68,ARBOR WOODS HEALTH AND REHAB,REFORM,AL,35481,Pickens,For profit - Partnership,85,ARBOR WOODS HEALTH AND REHAB LLC,N,5.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"515 2ND AVENUE NORTHWEST,REFORM,AL,35481",01/03/2023
69,"LINEVILLE HEALTH AND REHABILITATION, LLC",LINEVILLE,AL,36266,Clay,For profit - Corporation,101,"LINEVILLE HEALTH AND REHABILITATION, LLC",N,5.0,5.0,4.0,4.0,3.0,0,0.0,0,0,"88073 HIGHWAY 9,LINEVILLE,AL,36266",01/03/2023
70,FOREST MANOR HEALTH AND REHAB,NORTHPORT,AL,35476,Tuscaloosa,For profit - Limited Liability company,182,2215 NORTHPORT OPCO LLC,N,2.0,2.0,3.0,2.0,5.0,7,13890.11,1,8,"2215 32ND STREET,NORTHPORT,AL,35476",01/03/2023
71,THE HEALTHCARE CENTER AT BUCK CREEK,ALABASTER,AL,35007,Shelby,For profit - Partnership,198,"ALABASTER OPCO, LLC",N,1.0,2.0,1.0,1.0,2.0,3,16133.0,0,3,"850 9TH STREET, NORTHWEST,ALABASTER,AL,35007",01/03/2023
72,DIVERSICARE OF RIVERCHASE,BIRMINGHAM,AL,35244,Jefferson,For profit - Corporation,132,DIVERSICARE OF RIVERCHASE LLC,N,1.0,1.0,4.0,4.0,3.0,5,14863.1,0,5,"2500 RIVERHAVEN DRIVE,BIRMINGHAM,AL,35244",01/03/2023
73,GLENWOOD CENTER,FLORENCE,AL,35630,Lauderdale,For profit - Corporation,125,211 213 ANA DRIVE OPERATIONS LLC,N,3.0,2.0,5.0,3.0,5.0,0,0.0,0,0,"211 ANA DRIVE,FLORENCE,AL,35630",01/03/2023
74,DIVERSICARE OF ARAB,ARAB,AL,35016,Marshall,For profit - Limited Liability company,87,DIVERSICARE OF ARAB LLC,N,1.0,1.0,4.0,4.0,5.0,0,0.0,0,0,"235 THIRD STREET SE,ARAB,AL,35016",01/03/2023
75,SUNSET MANOR,GUIN,AL,35563,Marion,For profit - Corporation,71,SOUTHERN CARE LLC,N,4.0,2.0,5.0,5.0,5.0,0,0.0,0,0,"251 SUNSET PLACE,GUIN,AL,35563",01/03/2023
76,WIREGRASS REHABILITATION CENTER & NURSING HOME,GENEVA,AL,36340,Geneva,Government - County,96,GENEVA COUNTY HEALTHCARE AUTHORITY INC,N,2.0,2.0,5.0,5.0,3.0,0,0.0,0,0,"1200 MAPLE AVENUE WEST,GENEVA,AL,36340",01/03/2023
77,AZALEA HEALTH AND REHAB LLC,MOBILE,AL,36607,Mobile,For profit - Limited Liability company,170,AZALEA HEALTH AND REHAB LLC,N,1.0,1.0,4.0,4.0,,8,51534.39,0,8,"1758 SPRINGHILL AVE,MOBILE,AL,36607",01/03/2023
78,EXTENDICARE HEALTH CENTER,DOTHAN,AL,36302,Houston,For profit - Corporation,170,"EXTENDICARE, INC",N,2.0,1.0,3.0,4.0,3.0,1,655.01,0,1,"950 SOUTH ST. ANDREWS STREET,DOTHAN,AL,36302",01/03/2023
79,ARLINGTON REHABILITATION & HEALTHCARE CENTER,BIRMINGHAM,AL,35211,Jefferson,For profit - Corporation,117,"ARLINGTON REHABILITATION & HEALTHCARE CENTER, LLC",N,2.0,3.0,1.0,1.0,1.0,1,9750.0,0,1,"1020 TUSCALOOSA AVENUE, SW,BIRMINGHAM,AL,35211",01/03/2023
80,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,FAYETTE,AL,35555,Fayette,Government - County,122,FAYETTE MEDICAL CENTER,N,4.0,3.0,4.0,3.0,5.0,1,15000.0,0,1,"1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555",01/03/2023
81,"RIDGEVIEW HEALTH SERVICES, INC",JASPER,AL,35504,Walker,For profit - Corporation,148,"RIDGEVIEW HEALTH SERVICES, INC.",N,4.0,4.0,3.0,3.0,3.0,0,0.0,0,0,"907 11TH STREET, NE,JASPER,AL,35504",01/03/2023
82,CROWNE HEALTH CARE OF FT PAYNE,FORT PAYNE,AL,35967,De Kalb,For profit - Corporation,123,"CROWNE HEALTH CARE OF FORT PAYNE, LLC",N,5.0,5.0,2.0,3.0,1.0,0,0.0,0,0,"403 13TH STREET NORTHWEST,FORT PAYNE,AL,35967",01/03/2023
83,HALEYVILLE HEALTH CARE CENTER,HALEYVILLE,AL,35565,Winston,For profit - Corporation,97,HALEYVILLE HEALTH CARE CENTER INC,N,5.0,4.0,3.0,3.0,3.0,0,0.0,0,0,"2201 11TH AVENUE,HALEYVILLE,AL,35565",01/03/2023
84,DIVERSICARE OF MARION,MARION,AL,36756,Perry,For profit - Corporation,71,"DAC OF MARION, LLC",Y,3.0,2.0,5.0,5.0,,2,9956.58,0,2,"505 EAST LAFAYETTE STREET,MARION,AL,36756",01/03/2023
85,DIVERSICARE OF ONEONTA,ONEONTA,AL,35121,Blount,For profit - Corporation,120,DIVERSICARE OF ONEONTA LLC,N,5.0,4.0,5.0,5.0,4.0,0,0.0,0,0,"215 VALLEY ROAD,ONEONTA,AL,35121",01/03/2023
86,SYLACAUGA HEALTH AND REHAB SERVICES,SYLACAUGA,AL,35150,Talladega,Non profit - Corporation,149,"SYLACAUGA HEALTH AND REHAB SERVICES, LLC",N,4.0,4.0,3.0,3.0,3.0,0,0.0,0,0,"1007 W FORT WILLIAMS ST,SYLACAUGA,AL,35150",01/03/2023
87,"TALLADEGA HEALTHCARE CENTER, INC",TALLADEGA,AL,35160,Talladega,For profit - Corporation,234,"TALLADEGA HEALTHCARE CENTER, INC.",N,1.0,2.0,1.0,1.0,1.0,0,0.0,0,0,"616 CHAFFEE STREET,TALLADEGA,AL,35160",01/03/2023
88,ALBERTVILLE NURSING HOME,ALBERTVILLE,AL,35950,Marshall,For profit - Corporation,159,"ALBERTVILLE HEALTHCARE CENTER, INC.",N,4.0,4.0,3.0,2.0,3.0,1,650.0,0,1,"750 ALABAMA HIGHWAY 75 NORTH,ALBERTVILLE,AL,35950",01/03/2023
89,CHOCTAW HEALTH AND REHAB,BUTLER,AL,36904,Choctaw,For profit - Limited Liability company,120,BUTLER HEALTH AND REHAB LLC,N,4.0,5.0,4.0,3.0,4.0,0,0.0,0,0,"1406 EAST PUSHMATAHA STREET,BUTLER,AL,36904",01/03/2023
90,DADEVILLE HEALTHCARE CENTER,DADEVILLE,AL,36853,Tallapoosa,For profit - Limited Liability company,144,DADEVILLE HEALTHCARE CENTER LLC,N,3.0,2.0,2.0,4.0,1.0,0,0.0,0,0,"351 NORTH EAST STREET,DADEVILLE,AL,36853",01/03/2023
91,MARION REGIONAL NURSING HOME,HAMILTON,AL,35570,Marion,Non profit - Corporation,79,"MARION REGIONAL MEDICAL CENTER, INC.",N,3.0,3.0,4.0,4.0,,0,0.0,0,0,"184 SASSER DRIVE,HAMILTON,AL,35570",01/03/2023
92,LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,MOBILE,AL,36604,Mobile,Non profit - Corporation,75,LITTLE SISTERS OF THE POOR HOME FOR THE AGED INC,N,5.0,5.0,4.0,4.0,,4,4578.22,0,4,"1655 MCGILL AVENUE,MOBILE,AL,36604",01/03/2023
93,"FLORENCE NURSING AND REHABILITATION CTR,  LLC",FLORENCE,AL,35630,Lauderdale,For profit - Individual,147,"FLORENCE NURSING AND REHABILITATION CENTER, LLC",N,3.0,2.0,5.0,5.0,5.0,1,3250.0,0,1,"2107 CLOYD BLVD,FLORENCE,AL,35630",01/03/2023
