Location Name,Care homes beds,Location Postal Code,Care Services
Cleveland Terrace,4,DL3 7HA,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
Saxby Lodge Residential Care Home,19,PO21 2EJ,Nursing Or Personal Care; Residential Home; Older People
Karenza Care Home,22,TR5 0UD,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
The Hall,10,TN26 2EW,Nursing Or Personal Care; Residential Home; Childrens Home; LD & Autism; Older People; Young Adults
Ashlea House,4,TN24 9BP,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Birch House,5,TN26 2AF,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Sunnyside,4,NR29 4PZ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Sensory Impairment; Young Adults
Cascade (Hurst House),8,NR5 0HZ,Nursing Or Personal Care; Residential Home; Childrens Home; LD & Autism; Young Adults
Our Place,39,M33 5AN,Nursing Or Personal Care; Residential Home; Dementia; Older People
Lindsey Hall Care Home,79,DN35 8AF,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Poplars Care Home,14,SO16 3GD,Nursing Or Personal Care; Residential Home; Dementia; Older People
Peace Manor Residential Care Ltd - Waverley Road Unit - Plumstead,4,SE18 7TJ,Nursing Or Personal Care; Residential Home; Mental Health; Young Adults
Goldenview Care Home,36,ST3 7SS,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Holly Oak Care Centre,46,GL11 5HA,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Highgrove,3,BL9 7NL,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Buckingham Lodge Care Home,73,IP25 6WL,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Woodstown House,40,SM7 3EF,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Sensory Impairment; Young Adults
The Larches,5,IP14 1BJ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
7 Horse Leaze,6,E6 6WJ,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Physical Disability; Sensory Impairment
The Ings,6,S73 0HQ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
Woodways,6,S73 0HQ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
Clarendon Lodge,40,WD3 3JB,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment
Red Oaks Care Community,43,NG19 0HL,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
The Lilacs Residential Home,17,SS0 8NL,Nursing Or Personal Care; Residential Home; Dementia; Older People
Abbots Wood Manor,60,BN27 3AL,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Belgravia Care Home,25,FY1 2LB,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Avocet House Care Home,66,PE21 7NT,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Cross and Passion Convent,16,FY8 5EU,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Kinross Residential Care Home,29,PO6 1EE,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Oaklands Care Home,31,PO7 5UJ,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Coombe Hill Manor,104,KT2 7EQ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Lapwing Lodge,3,NR31 8SF,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Crossfields Lodge,2,CO9 1UY,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Maxey House Residential Home,31,PE6 9BA,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Amber Lodge Nursing Home,40,DE24 8GT,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Southmead Rest Home,16,BH18 8ES,Nursing Or Personal Care; Residential Home; Dementia; Older People
Spencer House,25,CT7 9EZ,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
Maple Cottage,1,GU23 7EN,Nursing Or Personal Care; Residential Home; LD & Autism; Older People
Bethany Care Service,37,RG26 3TH,Nursing Or Personal Care; Personal Care; Residential Home; Dementia; Older People; Physical Disability
Parkside Lodge Residential Home,20,BN11 4JF,Nursing Or Personal Care; Residential Home; Dementia; Older People
Lennon House,3,DN4 6TP,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
WhiteHorse Care - Brownhills,8,WS8 7PE,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Young Adults
Baxendale Care Home,45,N20 0EH,Nursing Or Personal Care; Residential Home; Dementia; Older People
Knightsbridge Lodge,22,GL51 9TA,Nursing Or Personal Care; Residential Home; Older People
Prideaux Manor,27,BN26 6BY,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Laureate Court,84,S60 2NX,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Cygnet House,2,DY8 3UU,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Wiltshire Heights Care Home,63,BA15 1FD,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Ambleside,60,CV37 9ST,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Meadowbrook Lodge,4,EN3 5RA,Nursing Or Personal Care; Residential Home; Mental Health; Older People; Sensory Impairment; Young Adults
Hilldales Residential Care Home,56,EX34 9JS,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Ferrars Hall Care Home,66,PE29 3AA,Nursing Or Personal Care; Residential Home; Dementia; Older People
Lakeview Lodge Care Home,66,MK3 5QU,Nursing Or Personal Care; Residential Home; Dementia; Older People
Clearbury,4,EX16 7JU,Nursing Or Personal Care; Residential Home; Childrens Home; LD & Autism; Sensory Impairment; Young Adults
Ashley House,16,CV31 1TQ,Nursing Or Personal Care; Substance Misuse; Nursing Home; LD & Autism; Mental Health; Eating Disorder; Young Adults
Oakview Lodge,70,AL7 4DT,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Holmes House Care Home,49,LE18 4UF,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Seacroft Court Nursing Home,50,PE25 3BE,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Roland Residential Care Homes - 27 Bush Hill,10,N21 2BT,Nursing Or Personal Care; Residential Home; Mental Health; Older People; Young Adults
Eastcote Park Care Home,50,B92 0JA,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
Moors Manor Care Home,66,BH24 2DW,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Dove House,2,L9 8AT,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
35 Priory Grove,4,HU4 6LX,Nursing Or Personal Care; Residential Home; Community LD; Dementia; LD & Autism; Physical Disability; Sensory Impairment; Young Adults
Elsyng House Care Home,76,EN2 9HT,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Cliff Lodge,2,FY2 9JT,Nursing Or Personal Care; Residential Home; Childrens Home; LD & Autism; Mental Health; Young Adults
Marillac Neurological Care Centre,52,CM13 3BL,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Sensory Impairment; Young Adults
Plymouth Lodge,1,FY3 7JS,Nursing Or Personal Care; Residential Home; Childrens Home; LD & Autism; Mental Health; Young Adults
Orchard Cottage,3,ME9 8NE,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
The Long Brook Residential Home,24,PL7 1NE,Nursing Or Personal Care; Residential Home; Older People
Brookside,1,NN17 1UU,Nursing Or Personal Care; Residential Home; LD & Autism
Redstacks,14,HU13 0JH,Nursing Or Personal Care; Residential Home; Dementia; Older People
Abbotsford Residential Care Home.,24,HA5 3AZ,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Young Adults
Foxmount,5,GL2 4NE,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Young Adults
Avon Park Residential Home,28,SO31 6AF,Nursing Or Personal Care; Residential Home; Older People; Young Adults
The Loont,6,CW7 1EX,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Physical Disability; Young Adults
Emerald House,5,DN37 0AR,Nursing Or Personal Care; Residential Home; Mental Health; Young Adults
Astley Grange,40,HD2 1DJ,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Arboretum Nursing Home,54,WS2 7AF,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Sensory Impairment; Young Adults
Three Cups,5,CO12 5AQ,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Elliscombe House,35,BA9 8EA,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Sensory Impairment
The Cedars,28,BS23 1DG,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Springfield Care Home Limited,40,DL1 2QA,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Lionsfield House,11,CV6 3DL,Nursing Or Personal Care; Residential Home; Mental Health; Older People; Young Adults
Smithy Bridge Court,51,OL15 8QN,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Ross Court Care Home,42,HR9 7BQ,Nursing Or Personal Care; Residential Home; Older People
Little Oaks Residential Home,35,HP11 1QG,Nursing Or Personal Care; Residential Home; Older People
Benson House Care Home,70,OX10 6SH,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Earlfield Lodge,52,BS23 2RR,Nursing Or Personal Care; Residential Home; Dementia; Older People
Willow House,30,TQ10 9AY,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability
Carrington Park,8,NG5 1AW,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Stonehill Drive,4,OL12 7JN,Nursing Or Personal Care; Residential Home; Mental Health; Young Adults
Harrier House Care Home,84,NG15 6WN,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Upton Bay Care Home,68,BH15 4HY,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Visitation of Our Lady Residential Care Home,9,W5 2RU,Nursing Or Personal Care; Residential Home; Older People
The Dovecote Residential Care Home,18,NG19 7SA,Nursing Or Personal Care; Residential Home; LD & Autism
Thornlea Rest Home,17,FY4 2QP,Nursing Or Personal Care; Residential Home; Older People
St Mary's Lodge,26,HU10 7BQ,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Hillsview - Blythswood Road,5,IG3 8SG,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Physical Disability; Young Adults
Bollingbroke House,30,S72 9EA,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Young Adults
Church Green Lodge,6,NR7 8ET,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Pine Lodge,3,NR29 5JH,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Faro Lodge,6,PE30 3YE,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
The Old Rectory Retirement Home,20,CT2 8NJ,Nursing Or Personal Care; Residential Home; Older People
Onny Cottage,7,SY8 2JU,Nursing Or Personal Care; Residential Home; Older People; Physical Disability; Sensory Impairment
Avery Park Care Home,119,NN16 9JB,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Beresford Lodge Residential Care Home,26,NE26 4RJ,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Lisbeth Nursing Home,40,WS6 6NQ,Nursing Or Personal Care; Nursing Home; Dementia; Physical Disability; Sensory Impairment
Beech Haven,30,W5 2AD,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment
Pine Lodge,8,NN18 9EJ,Nursing Or Personal Care; Personal Care; Residential Home; Childrens Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Obelisk House,44,NN2 8SA,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Turn Furlong,51,NN2 8BZ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Longlands,51,NN11 4DY,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Ridgway House,25,NN12 6HD,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Boniface House,46,NN6 9DS,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Southfields House,45,NN3 5DS,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
St Mary's Convent and Nursing Home,60,W4 2QE,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability
Oaklands,5,CO15 3SX,Nursing Or Personal Care; Residential Home; Childrens Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Charlton House,5,SE7 8BH,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Jaytee Care Demi House,3,WS10 9SW,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Acorn Hove,12,BN3 6NR,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism
Cornfields,3,RG23 8HD,Nursing Or Personal Care; Residential Home; LD & Autism
Applelea,4,RG22 4BB,Nursing Or Personal Care; Residential Home; LD & Autism
Willow Tree Lodge,4,RG22 5NA,Nursing Or Personal Care; Residential Home; LD & Autism
Cornview,3,RG23 8HF,Nursing Or Personal Care; Residential Home; LD & Autism
Glebelands,4,RG21 3DN,Nursing Or Personal Care; Residential Home; LD & Autism
Timaru,6,SO51 0HB,Nursing Or Personal Care; Residential Home; LD & Autism
Baytrees,4,RG22 6PD,Nursing Or Personal Care; Residential Home; LD & Autism
Acacia Lodge,55,RG9 1EY,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Lawton Rise Care Home,62,ST6 5QS,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Ann Charlton Lodge,25,TS10 4PR,Nursing Or Personal Care; Nursing Home; Physical Disability
Laxton Hall,30,NN17 3AU,Nursing Or Personal Care; Residential Home; Dementia; Older People
Callum House,8,CR5 2BL,Nursing Or Personal Care; Residential Home; LD & Autism
Redstone House,4,RH1 4BG,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Sunny View House,1,AL5 3HA,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Bayith Rest Home,15,PO8 9QH,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Young Adults
Barons Lodge Sutton,17,SM2 5DW,Nursing Or Personal Care; Nursing Home; Mental Health; Older People; Physical Disability; Young Adults
Mr & Mrs A H Akbarally,3,KT19 9TA,Nursing Or Personal Care; Residential Home; LD & Autism
Holbeach and East Elloe Hospital Trust,47,PE12 8AQ,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Ranworth House,9,BN21 2NW,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Felbrigg House,11,CT16 2PU,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Bradfield House,10,BN11 4NY,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Walcott House,9,PO21 2EU,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Ormesby House,10,RH8 9JB,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
The Avenue Nursing Home,64,BD14 6FH,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability
Abbey Lodge,18,TN33 0SH,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Young Adults
Miramar Nursing Home,28,LN12 2LT,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health
Trevone House,2,GL1 3HZ,Nursing Or Personal Care; Nursing Home; Residential Home; Childrens Home; Mental Health; Young Adults
Hazelwood House,15,HA3 8PF,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Young Adults
Beachville West End,13,NE64 6XD,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Older People; Young Adults
Spencer Place,10,PO18 8AN,Nursing Or Personal Care; Residential Home; Mental Health; Older People; Young Adults
Larchwood Nursing and Residential Home,48,NR7 0RF,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Bevern View,11,BN8 5FJ,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability; Sensory Impairment; Young Adults
The Wedge Residential Home,21,PO11 0HU,Nursing Or Personal Care; Residential Home; Older People
Glasson House,6,EN4 9JS,Nursing Or Personal Care; Residential Home; Mental Health
Byng House,37,PR8 1QU,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Stable Steps Care Centre,50,SK3 8HZ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
West Hill Care Home,77,DA1 2GA,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Hebburn Manor,60,NE31 1YQ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Gateway House,6,S25 2PP,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Sensory Impairment; Young Adults
Lynnwood,4,NE4 6XB,Nursing Or Personal Care; Residential Home; Childrens Home; LD & Autism; Young Adults
Waterside Court Care Home,70,OX10 9EG,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Brockfield House,45,NN9 6QQ,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health
Puddingstone Grange,62,SE18 3RD,Nursing Or Personal Care; Nursing Home; Residential Home; Dementia; Mental Health; Older People; Young Adults
Bradstowe Lodge,27,CT10 1QL,Nursing Or Personal Care; Residential Home; Older People
Clare House Residential Home,25,NN12 8UD,Nursing Or Personal Care; Residential Home; Dementia; Older People
Eventide Residential Home Limited,18,EX23 8RQ,Nursing Or Personal Care; Residential Home; Older People
Oakhurst Court Nursing Home,57,RH9 8JY,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Aronel Cottage Care Home Limited,38,PO22 8BQ,Nursing Or Personal Care; Nursing Home; Older People
Ash Court Care Centre - Camden,62,NW5 2PW,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Sandhurst Court,8,WF13 3PZ,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability; Young Adults
Heathlands Care Home,84,E4 6NF,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
St Mary's Convent,18,DH8 0QD,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Firs Court,9,KT9 1NA,Nursing Or Personal Care; Personal Care; Residential Home; Supported Living; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Hillside Lodge,2,CO9 1UY,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Queen Elizabeth Care Centre,74,TW20 0PJ,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Acorn Luxury Care Limited,13,BH3 7AS,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People
Frances Bolitho Care Home,45,TR18 2JR,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Young Adults
Fairholme Nursing Home,60,TR14 8DN,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Simone's House,5,UB10 0AD,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Nelson House,4,NG5 6JE,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Young Adults
Ascot Grange Care Home,106,SL5 9PR,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Brentwood Arches Care Home,110,CM14 4NA,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Cliveden Manor Care Home,85,SL7 1HX,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Moorlands Lodge Care Home,106,GU26 6TJ,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Sensory Impairment; Young Adults
Rosebery Manor Care Home,95,KT18 5XA,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Sensory Impairment
Marmaduke,18,HU3 3BH,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Nayland House Care Home,54,CO6 4LA,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Bethany House Care Home,31,DL5 4UD,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability
Solent Lodge,4,PO14 2PG,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Physical Disability; Sensory Impairment; Young Adults
Leazes Hall Care Home,50,NE16 6AJ,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Older People; Young Adults
Cedar Falls,39,WS2 9DG,Nursing Or Personal Care; Nursing Home; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Jean Garwood House,14,CR2 6LX,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability; Young Adults
Hammerson House,116,N2 0BE,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment
Park House Nursing Home,25,BD13 1QJ,Nursing Or Personal Care; Nursing Home; Older People
Magnolia House,3,SM1 2EE,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Young Adults
North Bay House,29,NR32 3PW,Nursing Or Personal Care; Residential Home; Dementia; Older People
Perran Bay Care Home,40,TR6 0BH,Nursing Or Personal Care; Residential Home; Older People
Cherrytree Residential Home,40,LE8 5TD,Nursing Or Personal Care; Residential Home; Mental Health; Older People; Physical Disability; Young Adults
Trinity Court Nursing Home,50,SW17 7HL,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Young Adults
The Branches,24,NE32 5TQ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Ealing Eventide Homes Limited - Downhurst,26,W5 2DD,Nursing Or Personal Care; Residential Home; Dementia; Older People
Elmwood Residential Home Limited,38,EX24 6QJ,Nursing Or Personal Care; Residential Home; Older People; Physical Disability; Young Adults
Yew Tree Cottage Residential Home,7,TA20 3DB,Nursing Or Personal Care; Residential Home; Dementia; Older People
Clairleigh Nursing Home,50,BR1 3AS,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Magenta,3,CT19 5BH,Nursing Or Personal Care; Residential Home; LD & Autism
Blythson Limited - 33 St. Johns Church Road,3,CT19 5BH,Nursing Or Personal Care; Residential Home; LD & Autism
Blythson Limited - 5 Ashley Avenue,3,CT19 4PX,Nursing Or Personal Care; Residential Home; LD & Autism
Blythson Limited - 3 Ashley Avenue,3,CT19 4PX,Nursing Or Personal Care; Residential Home; LD & Autism
The Grange Residential Home,9,IP33 2JT,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Ashmore Nursing Home,36,IP31 2AD,Nursing Or Personal Care; Nursing Home; Older People
Broom Lodge,6,DL17 0SW,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
St Luke's Hospital - Oxford,63,OX3 7PF,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Kings Den,4,GL4 6SZ,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
St Mary's,47,DN15 8UP,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Young Adults
The Grange,40,CB11 3RP,Nursing Or Personal Care; Residential Home; Dementia; Older People
